RESDATE,RESCOL,BIDCITY,MONTH,PSTALP,BSTATUS,FAILMON,PO_COST,COST21,COST22,BSTATDT,COST20,TERMDATE,BIDNAME,RESTYPE_II,FAILDATE,RESTYPE1,CHCLASS1,FSL_PROG,BRCERT,CERT,BRDOCKET,COST07,COST08,COST09,L_REPDTE,FRAUD,COST03,COST04,COST05,COST06,RSSDID,COMMENTS,BIDCERT,COSTMOSTRECENTASOF,QBRASSET,URL,RESLOS,MONTHTXT,QBFASSET,QBFEQ,TXHC,QBREQ,COST00,COST01,BIDDOCK,COST02,COST18,COST19,RESCOST,ATFIN,COST14,COST15,COST16,COST17,CITY,R_UPDATE,FAILTXT,COST10,COST98,COST11,COST99,COST12,COST13,COST95,DAY,COST96,COST97,QBFDEP,CLOSCD,FIN2,RESEQ,RESTYPE,CITYST,RESDEP,RESPUT,PTRDATE,COSTMOSTRECENT,FAILDAY,INCTDT,TERMI,FAILYR,DOCKET,RESABAL,RESTYPE_OLD,BANKNO,RESPASS,SAVR,NAME,LOSSSHARE,FAILQTR,BRDATE,BIDSTATE,CROSSS,OBA,COST,UNINSDEP,RESASSET,CHCLASS,FUND,RESADJ,FIN,QBRDEP,CROSS,ID
43616,90,BOWIE,,TX,I,5,27792,19328,18263,44896,19399,44835,"LEGEND BANK, NA",,5/31/2019,PI,NM,,,10716.0,,,,,43555,,,,,,431958,,3108,45046,36738,https://www.fdic.gov/bank/individual/failed/enloe.html,50,,36738.0,3367,,3367,,,,,,21577,27553,,,,,,COOPER,45046,,,,,,,,,,,,31254.0,DPSNN,10531,1/0/1900,FAILURE,"COOPER, TX",30666.61683,0,,18263,,43616,T,2019,,27014,,,9811.84447,DIF,ENLOE STATE BANK,0,2,,TX,,0,18263.0,500,36977.99282,NM,5,-13,10531,31254,,4097
43084,11040,CHICAGO,,IL,A,12,62039,79928,79337,6559,80765,,ROYAL SAVINGS BANK,,12/15/2017,PI,SB,,,30570.0,,,,,43008,,,,,,309972,,28068,45046,166345,https://www.fdic.gov/bank/individual/failed/wafedbank.html,13081,,166345.0,21057,,21057,,,,,82257,86826,60511,,,,,60511,CHICAGO,45046,,,,,,,,,,,,143964.0,DPTNN,10530,5/2/2119,FAILURE,"CHICAGO, IL",142143.32879,0,,76455,,43084,,2017,,61188,,,19265.84747,DIF,WASHINGTON FEDERAL BANK FOR SAVINGS,0,4,,IL,,0,76455.0,,115457.24358,SB,5,-12166,10530,143964,,4096
43021,0,CONWAY SPRINGS,,KS,I,10,10521,280,280,43678,280,43617,CONWAY BANK,,10/13/2017,PA,NM,,,17719.0,,,,,43008,,,,,,141453,,4649,45046,33012,https://www.fdic.gov/bank/individual/failed/fmstatebank.html,36,,33012.0,-361,,-361,,,,,2621,280,2595,,,,,2595,ARGONIA,45046,,,,,,,,,,,,27466.0,TASNN,10529,1/0/1900,FAILURE,"ARGONIA, KS",27301.55392,3,,280,,43021,T,2017,,543,,,34370.83327,DIF,THE FARMERS AND MERCHANTS STATE BANK OF ARGONIA,0,4,,KS,,0,280.0,,34947.25693,NM,5,0,10529,27466,,4095
42881,411,EVANSVILLE,,IL,I,5,12002,8088,8088,43983,8088,43922,"UNITED FIDELITY BANK, FSB",,5/26/2017,PA,SM,,,1802.0,,,,,42825,,,,,,486248,,29566,45046,34370,https://www.fdic.gov/bank/individual/failed/fayettecounty.html,-181,,34370.0,349,,349,,,,,9135,8544,9973,,,,,9015,SAINT ELMO,45046,,,,,,,,,,,,33972.0,PABNN,10528,1/0/1900,FAILURE,"SAINT ELMO, IL",32125.42514,0,,8088,,42881,T,2017,,6675,,,26754.83768,DIF,FAYETTE COUNTY BANK,0,2,,IN,,0,8088.0,,33673.32608,SM,5,-14,10528,33972,,4094
42860,7227,RALEIGH,,WI,I,5,168197,132603,131962,44774,133260,44713,FIRST-CITIZENS BANK & TRUST,,5/5/2017,PA,SB,,,30003.0,,,,,42825,,,,,,640170,,11063,45046,1031900,https://www.fdic.gov/bank/individual/failed/guaranty.html,1802,,1031900.0,21607,,21607,,,,,138491,133914,146373,,,,,143423,MILWAUKEE,45046,,,,,,,,,,,,1002026.0,TAFNN,10527,1/0/1900,FAILURE,"MILWAUKEE, WI",985137.87513,0,,131962,,42860,T,2017,,106193,,,902521.29863,DIF,GUARANTY BANK,0,2,,NC,,0,131962.0,,1015744.6299,SB,5,1998,10527,1002026,,4093
42853,51783,GULFPORT,,LA,A,4,998438,786435,786550,6328,807226,,WHITNEY BANK,,4/28/2017,PA,NM,,,58302.0,,,,,42825,,,,,,3445769,,12441,45046,3325870,https://www.fdic.gov/bank/individual/failed/firstnbc.html,47552,,3325870.0,-112623,,-112623,,,,,838179,858100,996941,,,,,826903,NEW ORLEANS,45046,,,,,,,,,,,,3032208.0,PASNN,10526,7/17/4077,FAILURE,"NEW ORLEANS, LA",2957785.0036,1955,,786550,,42853,,2017,,2532924,,,935470.84775,DIF,FIRST NBC BANK,0,2,,MS,,0,786550.0,,3549051.5184,NM,5,16643,10526,3032208,,4092
42797,757,LOGAN,,UT,A,3,18110,9807,9874,6272,9714,,CACHE VALLEY BANK,,3/3/2017,PA,NM,,,35495.0,,,,,42735,,,,,,2908575,,22134,45046,68208,https://www.fdic.gov/bank/individual/failed/proficio.html,462,,68208.0,2288,,2288,,,,,10717,9302,11004,,,,,11763,COTTONWOOD HEIGHTS,45046,,,,,,,,,,,,65042.0,TASNN,10525,5/15/1927,FAILURE,"COTTONWOOD HEIGHTS, UT",56607.94532,33,,9874,,42797,,2017,,3916,,,56829.47,DIF,PROFICIO BANK,0,1,,UT,,0,9874.0,,62010.8559,NM,5,-80,10525,65042,,4091
42762,2076,DALLAS,,IL,A,1,93309,44050,44006,6237,44099,,STATE BANK OF TEXAS,,1/27/2017,PA,NM,,,19328.0,,,,,42735,,,,,,673431,,27074,45046,297809,https://www.fdic.gov/bank/individual/failed/seaway.html,519,,297809.0,-5791,,-5791,,,,,47656,44526,57241,,,,,55465,CHICAGO,45046,,,,,,,,,,,,256505.0,TASNN,10524,7/5/2024,FAILURE,"CHICAGO, IL",243845.01625,0,,44006,,42762,,2017,,7947,,,272860.97905,DIF,SEAWAY BANK AND TRUST COMPANY,0,1,,TX,,0,44006.0,,279962.08686,NM,5,3441,10524,256505,,4090
42748,283,RALEIGH,,NJ,I,1,30338,22158,22158,43709,22158,43647,FIRST-CITIZENS BANK & TRUST,,1/13/2017,PA,NM,,,34951.0,,,,,42735,,,,,,2873860,,11063,45046,124223,https://www.fdic.gov/bank/individual/failed/harvestcomm.html,43,,124223.0,1737,,1737,,,,,23142,22158,22321,,,,,22689,PENNSVILLE,45046,,,,,,,,,,,,122177.0,TASNN,10523,1/0/1900,FAILURE,"PENNSVILLE, NJ",121829.45856,290,,22158,,42748,T,2017,,4319,,,121157.88497,DIF,HARVEST COMMUNITY BANK,0,1,,NC,,0,22158.0,,127393.62044,NM,5,-2031,10523,122177,,4089
42636,178,HUNTSVILLE,,AR,I,9,13061,6213,6213,43556,6213,43497,TODAY'S BANK,,9/23/2016,PA,SM,,,91.0,,,,,42551,,,,,,28349,,33470,45046,66336,https://www.fdic.gov/bank/individual/failed/alliedbank.html,375,,66336.0,1321,,1321,,,,,8079,6213,6914,,,,6880,8098,MULBERRY,45046,,,,,,,,,,,,64713.0,TABNN,10522,1/0/1900,FAILURE,"MULBERRY, AR",61060.83897,11,,6213,,42636,T,2016,,1563,,,62282.83107,DIF,ALLIED BANK,0,3,,AR,,0,6213.0,,64348.71742,SM,5,39,10522,64713,,4088
